replicate,k,subsample_size,ari_vs_primary_on_sample,nmi_vs_primary_on_sample,exact_label_match_fraction_after_permutation,permutation_mapping
280,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
280,3,632,0.9921886209910515,0.9810856030668629,0.9968354430379747,"{""0"": 1, ""1"": 0, ""2"": 2}"
280,4,632,0.923704157782674,0.9093387731930103,0.9731012658227848,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 2}"
280,5,632,0.6368352468688772,0.6896073188293136,0.8069620253164557,"{""0"": 2, ""1"": 0, ""2"": 4, ""3"": 1, ""4"": 3}"
280,6,632,0.8407941637725421,0.8382844595259442,0.930379746835443,"{""0"": 0, ""1"": 4, ""2"": 3, ""3"": 5, ""4"": 1, ""5"": 2}"
281,2,632,0.9873617989221709,0.9722635513107766,0.9968354430379747,"{""0"": 0, ""1"": 1}"
281,3,632,0.9790589602749594,0.9652157816328119,0.9936708860759493,"{""0"": 2, ""1"": 0, ""2"": 1}"
281,4,632,0.943224077587639,0.9277647917115172,0.9794303797468354,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0}"
281,5,632,0.8931489194258432,0.8902368055706517,0.9588607594936709,"{""0"": 4, ""1"": 0, ""2"": 3, ""3"": 1, ""4"": 2}"
281,6,632,0.9134639183279959,0.9019337703309138,0.9604430379746836,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 3, ""4"": 5, ""5"": 0}"
282,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
282,3,632,0.9846183809507761,0.9674921638139375,0.9936708860759493,"{""0"": 1, ""1"": 2, ""2"": 0}"
282,4,632,0.9618712659853335,0.9444172818086878,0.9857594936708861,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 1}"
282,5,632,0.4626401811705962,0.5795908160657852,0.6708860759493671,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 2, ""4"": 3}"
282,6,632,0.6875628506566238,0.7376212081401852,0.8481012658227848,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 5, ""5"": 0}"
283,2,632,0.9873617324240764,0.972242696739464,0.9968354430379747,"{""0"": 0, ""1"": 1}"
283,3,632,0.9533584978397769,0.9313319022383783,0.9857594936708861,"{""0"": 2, ""1"": 0, ""2"": 1}"
283,4,632,0.9448844889767937,0.9359103920734793,0.9810126582278481,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 2}"
283,5,632,0.6783755013070129,0.7118235283727805,0.8465189873417721,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 0}"
283,6,632,0.5526371824994802,0.6444395902026347,0.7009493670886076,"{""0"": 4, ""1"": 1, ""2"": 3, ""3"": 2, ""4"": 5, ""5"": 0}"
284,2,632,0.9936708861740091,0.9845626923798214,0.9984177215189873,"{""0"": 1, ""1"": 0}"
284,3,632,0.9958687485526697,0.9905300540618704,0.9984177215189873,"{""0"": 0, ""1"": 2, ""2"": 1}"
284,4,632,0.9869384817373522,0.9803354700828384,0.995253164556962,"{""0"": 3, ""1"": 0, ""2"": 1, ""3"": 2}"
284,5,632,0.6609294558851164,0.7113973455152904,0.8291139240506329,"{""0"": 0, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 4}"
284,6,632,0.8886643911985562,0.8872379030961209,0.9477848101265823,"{""0"": 5, ""1"": 1, ""2"": 0, ""3"": 4, ""4"": 3, ""5"": 2}"
285,2,632,0.949928777656336,0.901938699166017,0.9873417721518988,"{""0"": 0, ""1"": 1}"
285,3,632,0.8734859075649101,0.8708138657505956,0.9620253164556962,"{""0"": 1, ""1"": 2, ""2"": 0}"
285,4,632,0.9640291525338522,0.9522067285765571,0.9873417721518988,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}"
285,5,632,0.6150754836833153,0.6860977811743112,0.7800632911392406,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 4, ""4"": 2}"
