k,seed,ari_vs_primary,nmi_vs_primary
5,77,0.6760642865143766,0.7173909469576657
5,78,0.6238007729236495,0.685639623534204
5,79,0.489444302058901,0.6117745298671277
5,80,0.6391052238787645,0.6872192265858296
5,81,0.9256133028678188,0.9098253490359945
5,82,0.6249398424478146,0.6863305573669443
5,83,0.6170206202195456,0.6754802292539088
5,84,0.8855055391740112,0.8834666876503688
5,85,0.7050789449410539,0.746863381136306
5,86,0.6158291405254365,0.67390582890162
5,87,0.9641986321569085,0.954994402054046
5,88,0.5143774595305757,0.5877606306587556
5,89,0.6249398424478146,0.6863305573669443
5,90,0.6704070654889406,0.7134338840416159
5,91,0.941386713070691,0.9286291995031903
5,92,0.7228527749412664,0.762563496543292
5,93,0.804482418712636,0.8246450470881724
5,94,0.4515821964595562,0.5739673350798769
5,95,0.6361673202066668,0.6927838945991288
5,96,0.7272235958828995,0.774749169790198
5,97,0.49333012647628177,0.6126487228212119
5,98,0.45504580159384794,0.5748794081991563
5,99,0.9390650134046867,0.923361232710836
6,0,0.45547563151903475,0.5853388263004567
6,1,0.8035430985654132,0.8339130412338364
6,2,0.6672039825089143,0.7254092672579069
6,3,0.4905819346309477,0.6157598813132628
6,4,0.4603178320796536,0.5651909431152986
6,5,0.8519286552502568,0.8471746036766078
6,6,0.8768953340338587,0.8657245923694729
6,7,0.74058404467264,0.7641917821421198
6,8,0.8926217352354014,0.8962851020036122
6,9,0.4828521516555649,0.6257198921048002
6,10,0.897984094931191,0.9026353171647179
6,11,0.5028795210053876,0.6257992590772616
6,12,0.5313020433431853,0.6357982870963582
6,13,0.4964068871935558,0.6187865315740231
6,14,0.5483291152238691,0.6380579811707406
6,15,0.8768953340338587,0.8657245923694727
6,16,0.5180857389703732,0.636665532467125
